model,fold,PR_AUC,ROC_AUC
Logistic Regression,1,0.05860086984629513,0.7213616362104331
Logistic Regression,2,0.0629821043147155,0.7345462283221619
Logistic Regression,3,0.062257170711449296,0.7261080771486028
Logistic Regression,4,0.07568522716492317,0.7427399787750282
Logistic Regression,5,0.06810221480266178,0.7460388614210444
Random Forest,1,0.06608279298187923,0.7324854669719383
Random Forest,2,0.07513990248515404,0.7402868202248296
Random Forest,3,0.07132472592030355,0.7313666618157308
Random Forest,4,0.07568133012722439,0.7494623546102187
Random Forest,5,0.07345874112421902,0.7404929682792689
Bagging,1,0.060851860938882986,0.7120681584121337
Bagging,2,0.06822142170321277,0.7372048038948005
Bagging,3,0.06765274939589734,0.7246132229702876
Bagging,4,0.07135092219535825,0.7426033866340548
Bagging,5,0.06870629138447934,0.7388015947968258
AdaBoost,1,0.05835716462435128,0.7161771965512252
AdaBoost,2,0.07002339876539555,0.7322781924591654
AdaBoost,3,0.06834143349375778,0.7357433548561698
AdaBoost,4,0.07566405421712523,0.7436382529482201
AdaBoost,5,0.0728255508872232,0.7476565204199802
HistGradientBoosting,1,0.062467137709657936,0.7278002144845137
HistGradientBoosting,2,0.08852205327754002,0.7488222920408093
HistGradientBoosting,3,0.0765947086263079,0.731292621215951
HistGradientBoosting,4,0.07283872229260353,0.7418389387173616
HistGradientBoosting,5,0.075408462420222,0.745254496583494
XGBoost,1,0.0671559609326424,0.7230838957877624
XGBoost,2,0.09204159154461546,0.7471054555491891
XGBoost,3,0.07093291815636664,0.7433914509489536
XGBoost,4,0.08126069821402085,0.7495995850322247
XGBoost,5,0.07276641449512611,0.7499141066018264
LightGBM,1,0.06685522186378777,0.7182226723749053
LightGBM,2,0.08336317126647468,0.7417101110047168
LightGBM,3,0.07262995261776868,0.7280258988911783
LightGBM,4,0.07755403995281632,0.7377464934967672
LightGBM,5,0.07249880463693832,0.7426702163573506
CatBoost,1,0.06615011740975103,0.7248857359287094
CatBoost,2,0.08562372727793285,0.7486488137890428
CatBoost,3,0.07267893049610495,0.7412059766933808
CatBoost,4,0.07665236076352759,0.7468479555007486
CatBoost,5,0.07442441272152164,0.7475853699185081
SVM (RBF approx),1,0.063722072706697,0.7223791609570095
SVM (RBF approx),2,0.08568863507737609,0.743463266834761
SVM (RBF approx),3,0.07453082474213424,0.7404864212093127
SVM (RBF approx),4,0.07805128087828861,0.7488419454465457
SVM (RBF approx),5,0.08419038523441147,0.7454632474541796
