model,fold,R2,neg_RMSE
Linear Regression,1,-0.006091290010844519,-0.3206702023758907
Linear Regression,2,0.1266010515917435,-0.31078469534426534
Linear Regression,3,0.11859911880960827,-0.30967356039873345
Linear Regression,4,0.056971123655180755,-0.3290779225866279
Linear Regression,5,0.05153781636917687,-0.32974105932255804
Random Forest,1,0.05990857017142359,-0.3099737790436186
Random Forest,2,0.16596194616748705,-0.3037010017993647
Random Forest,3,0.11312968438402382,-0.31063289673016337
Random Forest,4,0.055616817329007584,-0.32931413614708477
Random Forest,5,0.10398636889127233,-0.32049431277150553
Bagging,1,0.045776594903084056,-0.3122949371488913
Bagging,2,0.1692195731947025,-0.30310731633375376
Bagging,3,0.1131843034234582,-0.3106233312213337
Bagging,4,0.0364724781457727,-0.33263528298396267
Bagging,5,0.10623284921747922,-0.32009228985858906
AdaBoost,1,0.07587291630580872,-0.3073305693291295
AdaBoost,2,0.10222048066009914,-0.3150925524605641
AdaBoost,3,0.13326436677652198,-0.3070864917773101
AdaBoost,4,0.045659306921690845,-0.3310457163415198
AdaBoost,5,0.055953628128085686,-0.32897256627551547
HistGradientBoosting,1,0.06267364961664845,-0.30951758229915544
HistGradientBoosting,2,0.1550920543297759,-0.30567363994811503
HistGradientBoosting,3,0.08553830969225862,-0.31542792954065435
HistGradientBoosting,4,-0.012049157758846851,-0.3409078919720572
HistGradientBoosting,5,0.05904707723387004,-0.32843313571551747
XGBoost,1,0.09396053962288109,-0.3043080685944948
XGBoost,2,0.1411454873528335,-0.3081861321690189
XGBoost,3,0.08521449193994202,-0.31548377229689367
XGBoost,4,0.053610480093730595,-0.32966376364804084
XGBoost,5,0.08496318591949592,-0.323878636683298
LightGBM,1,0.05892162698852055,-0.3101364474007834
LightGBM,2,0.13166000097495734,-0.3098833160989116
LightGBM,3,0.09062550610844156,-0.3145493351952071
LightGBM,4,0.031547402127121704,-0.3334843328893398
LightGBM,5,0.09306268493057013,-0.32244203573859387
CatBoost,1,0.07933675990026867,-0.3067540553099331
CatBoost,2,0.15473880139988683,-0.30573753378725527
CatBoost,3,0.10590375811213837,-0.31189579662408706
CatBoost,4,0.0798111497779197,-0.32506838578432135
CatBoost,5,0.10139170380833629,-0.32095801902967064
SVR (RBF),1,-0.027039469451993092,-0.3239913968503528
SVR (RBF),2,0.13243940142359323,-0.3097442130882779
SVR (RBF),3,0.11443989578068581,-0.31040335629841753
SVR (RBF),4,0.06362798110773216,-0.3279143821603645
SVR (RBF),5,0.05656733693217075,-0.3288656191017386
